posting_id,source,title,company,role,ai_inflected,seniority_years,posted_date,skill_ids,skill_names,facets_present,salary_known,salary_period,monthly_min,monthly_max,monthly_point
104:91k3d,104,冷凍系統製圖人員 (周休二日、待遇佳),國基冷凍工程股份有限公司,other,False,,,,,,True,monthly,35000.0,45000.0,40000.0
104:8wn1i,104,PHP論壇網站架站工程師,本公司其他工作,backend,False,,,"mysql,php","MySQL, PHP","2,9",True,monthly,70000.0,80000.0,75000.0
104:8m4mk,104,Regional Data Engineer 數據工程師(台北工作),香港商麥迪康亞太有限公司台灣分公司,data_analyst,False,1.0,,"python,sql,etl,mysql,machine_learning,statistics,azure,power_bi,tableau,php","Python, SQL, ETL/ELT, MySQL, Machine Learning (general), Statistics, Azure, Power BI, Tableau, PHP","1,1,2,2,3,3,7,8,8,9",False,unknown,,,
104:8waxf,104,資料工程師 Data Engineer,核桃運算股份有限公司,data_engineer,False,3.0,,"python,sql,airflow,etl,mysql,postgresql,statistics,aws,azure,gcp,dashboard,php","Python, SQL, Airflow, ETL/ELT, MySQL, PostgreSQL, Statistics, AWS, Azure, GCP, Dashboarding, PHP","1,1,2,2,2,2,3,7,7,7,8,9",False,unknown,,,
104:92847,104,資料工程師 Data Engineer,數解人意科技股份有限公司,data_engineer,False,,,"python,sql,airflow,elasticsearch,etl,mysql,ci_cd,docker,fastapi,aws,gcp,flask,php,rest_api","Python, SQL, Airflow, Elasticsearch, ETL/ELT, MySQL, CI/CD, Docker, FastAPI, AWS, GCP, Flask, PHP, REST API","1,1,2,2,2,2,6,6,6,7,7,9,9,9",True,monthly,50000.0,,50000.0
104:8wrnj,104,【台北 / 彈性遠端】Sr. Data Engineer 資深資料工程師,布魯斯人事顧問有限公司,backend,False,3.0,,"golang,python,aws,azure,gcp,php","Go, Python, AWS, Azure, GCP, PHP","1,1,7,7,7,9",True,yearly,116666.66666666667,,116666.66666666667
104:92ier,104,資料工程師/爬蟲工程師,貝伯盈智慧運營有限公司,data_scientist,True,,,"python,redis,machine_learning,scikit_learn,statistics,nlp,llm,docker,aws,php","Python, Redis, Machine Learning (general), scikit-learn, Statistics, NLP, Large Language Models, Docker, AWS, PHP","1,2,3,3,3,4,5,6,7,9",False,unknown,,,
104:7njt5,104,RD-數據工程師 Data Engineer,順立智慧股份有限公司,data_engineer,False,2.0,,"python,sql,data_warehouse,etl,machine_learning","Python, SQL, Data Warehouse, ETL/ELT, Machine Learning (general)","1,1,2,2,3",False,unknown,,,
104:91q0a,104,Data Engineer 資料工程師,德義資訊股份有限公司,data_engineer,False,3.0,,"etl,power_bi,dotnet","ETL/ELT, Power BI, .NET","2,8,9",False,unknown,,,
104:8xujh,104,Data Engineer 數據工程師 (台中),微碧愛普科技有限公司,data_engineer,True,1.0,,"python,sql,airflow,kafka,spark,etl,mongodb,mysql,nosql,postgresql,machine_learning,langchain,llm,llamaindex,rag,vector_db,aws","Python, SQL, Airflow, Apache Kafka, Apache Spark, ETL/ELT, MongoDB, MySQL, NoSQL, PostgreSQL, Machine Learning (general), LangChain, Large Language Models, LlamaIndex, RAG, Vector Database, AWS","1,1,2,2,2,2,2,2,2,2,3,5,5,5,5,5,7",True,monthly,55000.0,65000.0,60000.0
104:92g11,104,資料工程師,聯樂數位行銷股份有限公司,ai_engineer,True,1.0,,"python,llm","Python, Large Language Models","1,5",False,unknown,,,
104:7v0e3,104,資料工程師,圖靈數位股份有限公司,data_engineer,False,,,"java,python,sql,bigquery,etl,nosql,machine_learning,aws,gcp,php","Java, Python, SQL, BigQuery, ETL/ELT, NoSQL, Machine Learning (general), AWS, GCP, PHP","1,1,1,2,2,2,3,7,7,9",False,unknown,,,
104:85yiu,104,資料分析工程師,侍達遊戲藝術有限公司,data_analyst,False,3.0,,"golang,python,r_lang,sql,bigquery,mongodb,mysql,nosql,postgresql,aws,azure,gcp,dashboard,data_viz,looker,tableau","Go, Python, R, SQL, BigQuery, MongoDB, MySQL, NoSQL, PostgreSQL, AWS, Azure, GCP, Dashboarding, Data Visualization, Looker, Tableau","1,1,1,1,2,2,2,2,2,7,7,7,8,8,8,8",False,unknown,,,
104:8d4ac,104,Data Engineer / 資深資料工程師(Python),宇利峯有限公司,data_engineer,False,2.0,,"python,sql,etl,numpy,pandas,postgresql","Python, SQL, ETL/ELT, NumPy, pandas, PostgreSQL","1,1,2,2,2,2",False,unknown,,,
104:8zban,104,數據工程師 / Data Engineer (Data Infrastructure),富華創新股份有限公司台中分公司,data_engineer,True,,,"python,sql,airflow,bigquery,data_warehouse,dbt,etl,machine_learning,deep_learning,nlp,llm,prompt_engineering,rag,vector_db,model_serving,gcp,vertex_ai,excel","Python, SQL, Airflow, BigQuery, Data Warehouse, dbt, ETL/ELT, Machine Learning (general), Deep Learning (general), NLP, Large Language Models, Prompt Engineering, RAG, Vector Database, Model Serving, GCP, Vertex AI, Excel","1,1,2,2,2,2,2,3,4,4,5,5,5,5,6,7,7,8",False,unknown,,,
